new_cases_smoothed_per_million,new_tests_smoothed_per_thousand,people_fully_vaccinated_per_hundred,stringency_index,gdp_per_capita,human_development_index,diabetes_prevalence,life_expectancy,hospital_beds_per_thousand,temparature,rainfall,retail,grocery,transit,work,park,resident,median_age,Population_14,Population_65,Population_density,Mortality_rate_infant,Current health expenditure,Surface area,Unemployment,PM2.5,International migrant stock,houseshold_size,democracy,Asia,date2,location
412.93,1.694,8.4,75,18933.907,0.845,5.5,76.67,5,9.135555556,0.221111111,-22.41233766,14.01324503,-34.50454545,6.237327189,-49.30154639,7.148148148,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,25,Argentina
422.089,1.689,8.51,75,18933.907,0.845,5.5,76.67,5,8.321111111,1.998888889,-29.50324675,10.13448276,-41.06220096,-7.841232227,-58.92838875,10.82835821,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,26,Argentina
427.445,1.708,8.59,75,18933.907,0.845,5.5,76.67,5,5.272727273,1.523333333,-44.59929078,-9.610576923,-50.98989899,-19.25679012,-64.30971129,14.13852814,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,27,Argentina
458.09,1.794,8.68,75,18933.907,0.845,5.5,76.67,5,4.560674157,0.56,-24.70714286,6.009868421,-37.98067633,4.167053364,-55.45504087,6.583050847,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,28,Argentina
466.479,1.769,8.76,75,18933.907,0.845,5.5,76.67,5,4.564444444,0.055555556,-24.9122807,6.557432432,-38.17647059,4.302540416,-53.4171123,5.87,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,29,Argentina
451.925,1.758,8.86,75,18933.907,0.845,5.5,76.67,5,5.262222222,0,-19.28027682,12.66,-34.37073171,7.043981481,-49.53333333,6.02006689,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,30,Argentina
441.632,1.745,8.96,75,18933.907,0.845,5.5,76.67,5,7.618888889,0.121111111,-18.03061224,17.76588629,-34.27570093,7.539351852,-48.38684211,6.157190635,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,31,Argentina
431.812,1.727,9.22,75,18933.907,0.845,5.5,76.67,5,8.593258427,0.202222222,-16.87337662,22.2218543,-31.76255708,9.23556582,-46.53589744,6.38590604,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,32,Argentina
417.65,1.715,9.43,75,18933.907,0.845,5.5,76.67,5,9.324444444,0.216666667,-15.21587302,28.09655172,-29.99056604,-2.330143541,-43.14676617,7.128676471,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,33,Argentina
407.924,1.721,9.61,75,18933.907,0.845,5.5,76.67,5,9.288636364,0.003333333,-25.90410959,8.976744186,-38.25,-12.67839196,-39.74441687,9.794979079,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,34,Argentina
404.441,1.751,9.72,75,18933.907,0.845,5.5,76.67,5,9.755555556,0.012359551,-11.73758865,22.55481728,-29.66509434,10.21296296,-41.16353887,4.811447811,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,35,Argentina
396.688,1.811,10.01,75,18933.907,0.845,5.5,76.67,5,10.88888889,0.047777778,-10.88070175,27.10204082,-26.25615764,10.3587963,-43.22955145,4.183333333,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,36,Argentina
386.508,1.843,10.39,75,18933.907,0.845,5.5,76.67,5,12.79888889,2.06,-11.70833333,23.97342193,-26.77184466,9.032258065,-42.35733333,4.625827815,31.9,24.43531114,11.36651183,16.58089261,8.2,9.62454033,2780400,11.67,13.31183395,4.805292335,3.26,0.67,0,37,Argentina
