variable,Japan,synthetic_Japan,donor_sample
COVID-19 vaccination,16.877727272727274,31.13453699200114,26.491588744588743
Human mobility (groceries and pharmacies),4.897727272636364,23.97065750250822,20.61681515871212
Human mobility (parks),-6.815340909590909,84.35842194371334,44.72337473073269
Human mobility (residential),4.313446969681818,2.845585338884932,2.9190108699004327
Human mobility (retail and recreation),-9.105113636681818,-0.5738772993093327,-0.5736759303549783
Human mobility (transit stations),-20.881628787727273,-4.730070631642122,-9.415345045395021
Human mobility (workplaces),-7.008522727318182,-8.512464802395673,-16.24337601025433
Number of tests for COVID-19,0.4516818181818182,3.132908974011481,3.754475108225108
Precipitation,10.339235163045455,4.3830575287290285,3.1999311916538344
Stringency index,52.10272727272727,61.689329037206655,54.2781277056277
Temparature,24.132477899090908,21.94468708488012,20.824622176736373
4-week lagged cases,11.663,12.066614304011294,80.7389761904762
Age,48.2,45.72356853509191,37.778571428571425
Asia flag,1,0.3281023321710485,0.19047619047619047
Diabetes prevalence,5.72,7.462741138582559,7.147142857142857
Electoral democracy index,0.731,0.6991398905435113,0.6097619047619047
Gross domestic product (GDP),39002.223,44187.092319758834,30338.881166666666
Health expenditure,10.95338821,9.375007164728741,7.907483248571428
Houseshold size,2.33,2.37395431226665,2.9764285714285714
Human Development Index,0.919,0.9328433191810034,0.8565238095238096
Infant mortality rate,1.8,2.6886729589263823,6.972880952380953
International migrant stock,1.614775057,17.61834898041795,10.17262979745238
life_expectancy,84.63,82.6546536565869,78.80142857142857
Number of hospital beds,13.05,6.933234304859291,4.02702380952381
PM2.5,11.70477819,17.375677662696695,16.085332269
Population (0-14),12.44855673,13.564219428877632,19.41347380857143
Population (65-),28.39727307,20.328994157858595,14.987377609595239
Population density,345.2291385,1689.2251119695738,328.0848284464524
Surface area,377974,238462.27930020154,1630627.4328571428
Unemployment rate,2.97,5.511582440202762,6.949285714285715
cases2,12.062,11.922240022263233,77.9062619047619
cases3,14.474,14.332403263648986,83.08292857142857
cases4,20.876,20.899293519540674,103.3345
