variable,Japan,synthetic_Japan,donor_sample
COVID-19 vaccination,20.409444444444443,38.95863638222478,28.628713510656787
Human mobility (groceries and pharmacies),6.317708333333333,23.269544438008086,21.07898114418411
Human mobility (parks),-0.310763888888889,121.94363827243511,49.03010472675889
Human mobility (residential),4.891203703703703,3.1797039110174055,3.043298477708795
Human mobility (retail and recreation),-7.186342592592593,0.6385513063318652,0.4632555058287721
Human mobility (transit stations),-19.01736111111111,-5.943867060785832,-8.134574626601326
Human mobility (workplaces),-10.218171296296296,-11.352234232727511,-17.062475731050792
Number of tests for COVID-19,0.457,1.9613474739793668,3.856808201058201
Precipitation,9.550067699388888,4.21773506493277,2.9367099616606196
Stringency index,51.46388888888889,65.86886889035377,53.8723082010582
Temparature,25.23882035138889,19.996199075775657,20.899397593998767
4-week lagged cases,11.663,11.546906860419423,80.7389761904762
Age,48.2,45.84329163915887,37.778571428571425
Asia flag,1,0.15250277938379078,0.19047619047619047
Diabetes prevalence,5.72,8.052877719558095,7.147142857142857
Electoral democracy index,0.731,0.7376319852459909,0.6097619047619047
Gross domestic product (GDP),39002.223,43987.576556749336,30338.881166666666
Health expenditure,10.95338821,10.511473897845237,7.917007058095238
Houseshold size,2.33,2.2695892658882713,2.9764285714285714
Human Development Index,0.919,0.9339697609725945,0.8565238095238096
Infant mortality rate,1.8,3.3352550186255,6.972880952380953
International migrant stock,1.614775057,16.277356325222975,10.17262979745238
life_expectancy,84.63,81.4515675214651,78.80142857142857
Number of hospital beds,13.05,7.277724703237697,4.02702380952381
PM2.5,11.70477819,14.310356483031786,16.085332269
Population (0-14),12.4485567318333,14.154662424121833,19.41347380797177
Population (65-),28.3972730704411,20.795597621137087,14.987377609456463
Population density,345.229138545953,838.630297430732,328.08482844063263
Surface area,377974,343413.3903408641,1630627.4328571428
Unemployment rate,2.97,4.4555925812675,6.949285714285715
cases2,12.062,11.314044993605663,77.9062619047619
cases3,14.474,14.678813550868698,83.08292857142857
cases4,20.876,22.553019000794514,103.3345
cases5,31.343,35.4460003135846,116.41845238095239
cases6,59.186,48.41922534505244,124.93804761904762
