variable,Japan,synthetic_Japan,donor_sample
COVID-19 vaccination,18.65586206896552,34.80427365556148,27.57549628904514
Human mobility (groceries and pharmacies),6.112787356321839,24.438599586588012,20.992876869361385
Human mobility (parks),-1.3132183908045978,97.8128696602372,47.67969273053355
Human mobility (residential),4.935344827586207,2.815946437313682,2.9600184850827014
Human mobility (retail and recreation),-6.914511494252873,-0.17720911535276282,0.04626255970547902
Human mobility (transit stations),-19.627155172413794,-5.144548351856269,-8.606769671960803
Human mobility (workplaces),-10.27514367816092,-10.187678288559034,-16.878199241648158
Number of tests for COVID-19,0.45675862068965517,3.0572529489716667,3.8164187192118226
Precipitation,10.299509205689654,4.444494246921043,3.0113896638885174
Stringency index,51.70620689655173,65.26765736255997,54.00757799671593
Temparature,24.80622591448276,22.01363756457628,20.835147201233458
4-week lagged cases,11.663,11.138082960801713,80.7389761904762
Age,48.2,46.08025482146354,37.778571428571425
Asia flag,1,0.27138432283413066,0.19047619047619047
Diabetes prevalence,5.72,7.5427937987671605,7.147142857142857
Electoral democracy index,0.731,0.6778312816842765,0.6097619047619047
Gross domestic product (GDP),39002.223,44026.0276447257,30338.881166666666
Health expenditure,10.95338821,9.563562257075825,7.917007058095238
Houseshold size,2.33,2.3811851407436495,2.9764285714285714
Human Development Index,0.919,0.9289110732737401,0.8565238095238096
Infant mortality rate,1.8,2.8953438174676456,6.972880952380953
International migrant stock,1.614775057,18.037467664679713,10.17262979745238
life_expectancy,84.63,82.31756086381723,78.80142857142857
Number of hospital beds,13.05,6.433915340425029,4.02702380952381
PM2.5,11.70477819,16.91571035877969,16.085332269
Population (0-14),12.4485567318333,13.609468161237393,19.41347380797177
Population (65-),28.3972730704411,20.73520230127927,14.987377609456463
Population density,345.229138545953,1628.2798027997019,328.08482844063263
Surface area,377974,273864.8182238596,1630627.4328571428
Unemployment rate,2.97,5.414932403484346,6.949285714285715
3-week lagged cases,12.062,11.07759320472235,77.9062619047619
2-week lagged cases,14.474,13.86655693885284,83.08292857142857
1-week lagged cases,20.876,21.19966651253077,103.3345
0-week lagged cases,31.343,31.877818254298898,116.41845238095239
