.id,.placebo,time_unit,real_y,synth_y,diff,type_text
Japan,0,25,11.663,11.54690686099357,0.11609313900643059,Japan
Japan,0,26,11.791,10.872179460403276,0.9188205395967248,Japan
Japan,0,27,11.764,10.63320986058962,1.1307901394103794,Japan
Japan,0,28,11.915,10.71675235253283,1.19824764746717,Japan
Japan,0,29,11.852,10.730324213870107,1.1216757861298934,Japan
Japan,0,30,11.898,10.400933859511257,1.4970661404887426,Japan
Japan,0,31,11.988,11.030050272597533,0.9579497274024664,Japan
Japan,0,32,12.062,11.314044994024766,0.7479550059752338,Japan
Japan,0,33,12.342,11.581537730444392,0.7604622695556085,Japan
Japan,0,34,12.572,12.014353887227266,0.5576461127727335,Japan
Japan,0,35,12.604,12.206222696484518,0.3977773035154808,Japan
Japan,0,36,12.93,12.521704238135408,0.4082957618645917,Japan
Japan,0,37,13.348,13.243204688191842,0.10479531180815904,Japan
Japan,0,38,13.906,13.810897979646045,0.09510202035395565,Japan
Japan,0,39,14.474,14.678813551254699,-0.20481355125469847,Japan
Japan,0,40,15.131,15.756512926151576,-0.6255129261515755,Japan
Japan,0,41,15.749,16.601209898899082,-0.8522098988990816,Japan
Japan,0,42,16.288,17.190997366648176,-0.9029973666481759,Japan
Japan,0,43,17.1,18.35325481523835,-1.2532548152383498,Japan
Japan,0,44,18.236,19.364949006292182,-1.1289490062921814,Japan
Japan,0,45,19.565,20.98051998503523,-1.4155199850352282,Japan
Japan,0,46,20.876,22.55301900154011,-1.6770190015401099,Japan
Japan,0,47,22.494,23.923356748032056,-1.4293567480320561,Japan
Japan,0,48,23.708,25.49568507253993,-1.787685072539933,Japan
Japan,0,49,24.641,26.77090823198601,-2.129908231986011,Japan
Japan,0,50,26.199,28.97664276392993,-2.7776427639299293,Japan
Japan,0,51,28.19,31.329407620310956,-3.139407620310955,Japan
Japan,0,52,30.436,33.60236996445679,-3.1663699644567913,Japan
Japan,0,53,31.343,35.44600031349464,-4.103000313494643,Japan
Japan,0,54,31.012,37.70902738184108,-6.697027381841082,Japan
Japan,0,55,33.209,38.720055452810506,-5.511055452810503,Japan
Japan,0,56,35.907,39.91226316925402,-4.005263169254022,Japan
Japan,0,57,40.34,41.67334633657486,-1.3333463365748557,Japan
Japan,0,58,45.643,44.61946390221885,1.0235360977811538,Japan
Japan,0,59,51.709,46.608881592199886,5.100118407800117,Japan
Japan,0,60,59.186,48.419225344838054,10.766774655161946,Japan
Japan,0,61,69.191,49.189817871365136,20.001182128634866,Japan
Japan,0,62,75.094,50.49689534872828,24.597104651271714,Japan
Japan,0,63,79.366,51.25583565365505,28.110164346344952,Japan
Japan,0,64,84.388,52.29350805278589,32.09449194721412,Japan
Japan,0,65,89.696,53.731641558033026,35.96435844196697,Japan
Japan,0,66,94.87,55.24390332490946,39.626096675090544,Japan
Japan,0,67,100.509,56.97465113443963,43.53434886556037,Japan
Japan,0,68,104.362,58.84818968646961,45.513810313530385,Japan
Japan,0,69,109.21,60.10781713124338,49.102182868756614,Japan
Japan,0,70,113.403,61.1659507915439,52.237049208456106,Japan
Japan,0,71,111.853,62.71082146588767,49.142178534112325,Japan
Japan,0,72,113.798,65.6217185081995,48.176281491800495,Japan
Japan,0,73,118.01,68.87460781326422,49.135392186735785,Japan
Japan,0,74,123.324,72.25500737581369,51.06899262418631,Japan
Australia,1,25,0.748,5.8286928546629975,-5.080692854662997,control units
Australia,1,26,0.931,5.568246754920887,-4.637246754920887,control units
Australia,1,27,0.958,5.516188889757049,-4.558188889757049,control units
Australia,1,28,1.075,5.515110240978994,-4.440110240978994,control units
Australia,1,29,1.23,5.593262365142688,-4.363262365142688,control units
Australia,1,30,1.324,5.456677488232575,-4.132677488232575,control units
Australia,1,31,1.44,4.831036071361717,-3.3910360713617167,control units
Australia,1,32,1.534,5.0188335141030755,-3.4848335141030757,control units
Australia,1,33,1.407,5.014712316078291,-3.607712316078291,control units
Australia,1,34,1.529,4.924843410450211,-3.395843410450211,control units
Australia,1,35,1.501,4.790737860389982,-3.2897378603899825,control units
Australia,1,36,1.435,4.612506402309786,-3.177506402309786,control units
Australia,1,37,1.44,4.687427350883502,-3.2474273508835023,control units
Australia,1,38,1.479,5.272638478962958,-3.793638478962958,control units
Australia,1,39,1.557,4.992432898129788,-3.4354328981297884,control units
Australia,1,40,1.922,4.874782125597255,-2.9527821255972553,control units
Australia,1,41,2.31,4.738998706428092,-2.4289987064280916,control units
Australia,1,42,2.725,4.6960812404986845,-1.9710812404986844,control units
Australia,1,43,3.147,4.975066641767697,-1.828066641767697,control units
Australia,1,44,3.379,4.874148083585836,-1.495148083585836,control units
Australia,1,45,3.739,4.897568235985539,-1.1585682359855394,control units
Australia,1,46,4.188,4.836724810776795,-0.6487248107767956,control units
Australia,1,47,4.426,5.128129633367987,-0.7021296333679867,control units
Australia,1,48,4.404,5.334074885588416,-0.9300748855884162,control units
Australia,1,49,4.415,5.498589021157446,-1.0835890211574464,control units
Australia,1,50,4.637,5.570940924328817,-0.9339409243288177,control units
Australia,1,51,5.058,5.93372631517032,-0.8757263151703203,control units
Australia,1,52,5.296,6.307717310334672,-1.0117173103346717,control units
Australia,1,53,5.44,6.584209721766913,-1.144209721766913,control units
Australia,1,54,5.645,6.683994530817661,-1.0389945308176616,control units
Australia,1,55,5.905,6.750511154685524,-0.8455111546855241,control units
Australia,1,56,6.348,7.365880704347241,-1.0178807043472409,control units
Australia,1,57,6.686,7.713491316885664,-1.0274913168856639,control units
Australia,1,58,7.202,8.285007225864295,-1.0830072258642947,control units
Australia,1,59,7.351,8.620547589817882,-1.2695475898178818,control units
Australia,1,60,7.628,9.332513478085865,-1.7045134780858646,control units
Australia,1,61,8.116,9.736679820153364,-1.6206798201533648,control units
Australia,1,62,8.476,10.047083173915288,-1.5710831739152873,control units
Australia,1,63,8.697,9.639083836929148,-0.9420838369291484,control units
