unit,weight,type
Argentina,1.1203753925517122e-12,Control Unit Weights (W)
Australia,6.424090657371688e-12,Control Unit Weights (W)
Austria,3.8679987794699545e-11,Control Unit Weights (W)
Belgium,7.868137140521182e-12,Control Unit Weights (W)
Brazil,1.0431158211865505e-12,Control Unit Weights (W)
Canada,1.1313344399951548e-11,Control Unit Weights (W)
Chile,1.8332056478804425e-12,Control Unit Weights (W)
Czechia,2.1866042346305032e-11,Control Unit Weights (W)
Dominican Republic,1.255974170110255e-12,Control Unit Weights (W)
Ecuador,1.3935627967629155e-12,Control Unit Weights (W)
Estonia,2.820038004902162e-11,Control Unit Weights (W)
France,0.04212075852725001,Control Unit Weights (W)
Germany,0.7971704705880596,Control Unit Weights (W)
Greece,6.432164973768112e-12,Control Unit Weights (W)
Guatemala,8.502518250163576e-13,Control Unit Weights (W)
Hong Kong,0.08886115050916196,Control Unit Weights (W)
Indonesia,1.2657868299867417e-12,Control Unit Weights (W)
Ireland,2.2480241423524732e-12,Control Unit Weights (W)
Israel,2.084169306751429e-12,Control Unit Weights (W)
Italy,0.008205991140449231,Control Unit Weights (W)
Latvia,2.868082803588334e-11,Control Unit Weights (W)
Lithuania,6.323159928051054e-11,Control Unit Weights (W)
Malaysia,9.94116572222415e-13,Control Unit Weights (W)
Malta,1.7512977326194053e-12,Control Unit Weights (W)
Mexico,1.807558295767466e-12,Control Unit Weights (W)
New Zealand,8.367103905012603e-12,Control Unit Weights (W)
Norway,8.749184548963315e-12,Control Unit Weights (W)
Paraguay,7.433483504494995e-13,Control Unit Weights (W)
Peru,1.4562863964388219e-12,Control Unit Weights (W)
Russia,2.388784299178613e-12,Control Unit Weights (W)
Slovakia,1.4547799270482987e-11,Control Unit Weights (W)
Slovenia,5.2188456156255235e-11,Control Unit Weights (W)
South Korea,3.1967416262225923e-11,Control Unit Weights (W)
Switzerland,1.9369879445189686e-11,Control Unit Weights (W)
Thailand,0.06364162883230504,Control Unit Weights (W)
Trinidad and Tobago,2.3823028737886147e-12,Control Unit Weights (W)
Turkey,2.264786091631718e-12,Control Unit Weights (W)
Ukraine,1.5893946567844265e-11,Control Unit Weights (W)
United Kingdom,2.0446134501396054e-13,Control Unit Weights (W)
United States,5.945398011361076e-12,Control Unit Weights (W)
Uruguay,2.0911212454318906e-12,Control Unit Weights (W)
Vietnam,3.747511918030406e-12,Control Unit Weights (W)
COVID-19 vaccination,6.0601036031298745e-5,Variable Weights (V)
Human mobility (groceries and pharmacies),1.6505191792055363e-4,Variable Weights (V)
Human mobility (parks),6.530252019957265e-5,Variable Weights (V)
Human mobility (residential),0.0011278405601760052,Variable Weights (V)
Human mobility (retail and recreation),3.103692165444121e-4,Variable Weights (V)
Human mobility (transit stations),0.0013950139026988413,Variable Weights (V)
Human mobility (workplaces),0.001042535998690486,Variable Weights (V)
Number of tests for COVID-19,3.1721442378548076e-5,Variable Weights (V)
Precipitation,0.0014459285783825424,Variable Weights (V)
Stringency index,1.463313948492698e-4,Variable Weights (V)
Temparature,1.1246325983891137e-4,Variable Weights (V)
4-week lagged cases,0.09942010002982553,Variable Weights (V)
Age,0.017274024080747127,Variable Weights (V)
Asia flag,3.8451783309800895e-4,Variable Weights (V)
Diabetes prevalence,4.519611913074158e-5,Variable Weights (V)
Electoral democracy index,9.914546103584206e-4,Variable Weights (V)
Gross domestic product (GDP),6.760852356733055e-4,Variable Weights (V)
Health expenditure,0.0019377837588209525,Variable Weights (V)
Houseshold size,0.003589158922115062,Variable Weights (V)
Human Development Index,0.00987863984473064,Variable Weights (V)
Infant mortality rate,0.002993589891922035,Variable Weights (V)
International migrant stock,6.469243422541807e-5,Variable Weights (V)
life_expectancy,1.4398789558624266e-4,Variable Weights (V)
Number of hospital beds,1.4522978414178856e-4,Variable Weights (V)
PM2.5,9.127067268189873e-4,Variable Weights (V)
Population (0-14),0.01223663403164888,Variable Weights (V)
Population (65-),0.005393458001421907,Variable Weights (V)
Population density,6.620771354522388e-5,Variable Weights (V)
Surface area,1.4250558126497695e-4,Variable Weights (V)
Unemployment rate,0.004201751474398823,Variable Weights (V)
cases2,0.17271427431756062,Variable Weights (V)
cases3,0.15128169467037955,Variable Weights (V)
cases4,0.22683899871877888,Variable Weights (V)
cases5,0.18090358927125294,Variable Weights (V)
cases6,0.10186055922484347,Variable Weights (V)
